id,cidade,numero,bairro,rua,uf
9583554379,Costela,64,São Francisco Das Chagas,Praça de Barbosa,MS
7599032560,Nunes,64,Rio Branco,Viela Viana,AC
493960809,Caldeira,363,Pompéia,Núcleo da Paz,MT
6270610601,Cavalcante,25,Araguaia,Núcleo de Vargas,PB
714155416,da Paz de Pereira,72,Vila Sesc,Jardim Araújo,PE
3868735496,Fonseca do Galho,196,São Lucas,Residencial Barros,ES
7691249013,Sá das Pedras,3,Nova Gameleira,Trevo de da Cunha,PI
3197964534,Rodrigues do Campo,28,Jardim Montanhês,Conjunto Fogaça,PI
4555051886,Gomes,53,Lindéia,Setor Liz Lima,PR
1287609062,Cassiano de Mendes,84,Conjunto Jatoba,Chácara de Cavalcanti,GO
3930961013,da Luz,34,Conjunto Celso Machado,Vereda Caldeira,GO
3002381022,Silva dos Dourados,132,São José,Praça de Viana,RJ
3366265806,Machado de da Mota,1,Vila Madre Gertrudes 4ª Seção,Travessa Melo,PA
7332285605,Vargas do Campo,64,Nova Pampulha,Chácara de Guerra,TO
9931359841,Lopes da Serra,863,Túnel De Ibirité,Residencial Azevedo,ES
169609691,Guerra Verde,362,Copacabana,Passarela Ana Sophia Montenegro,RR
7627467980,Pimenta de Ferreira,624,Dom Joaquim,Trecho de Freitas,PR
9399474878,Carvalho,683,Vila Sumaré,Setor de Alves,GO
2481688788,Santos das Pedras,37,Olhos D'água,Trecho Júlia Aparecida,RJ
8759552984,Cunha,181,Capitão Eduardo,Jardim Miguel Cassiano,SE
6705765162,Nascimento de Andrade,530,Cruzeiro,Via Cauê Monteiro,AM
5342108957,Aparecida Alegre,9,Mirtes,Passarela Martins,SP
3870159466,Ribeiro das Flores,82,Providencia,Conjunto Fogaça,BA
5138107704,Ramos Grande,7,Alto Vera Cruz,Chácara Eduardo Novais,AL
6743966115,Novais de Araújo,95,Centro,Alameda Peixoto,MT
4503983071,Cunha Alegre,11,Colégio Batista,Área de Mendes,AM
9420049383,Barros,94,Conjunto Santa Maria,Pátio Ana Beatriz Camargo,SP
8997801642,Pereira de Rios,50,Vila Sumaré,Campo Heloisa Sá,PI
8460777646,Peixoto Paulista,60,Pindura Saia,Feira de da Rocha,SE
7896582991,Gomes,73,Nossa Senhora Do Rosário,Alameda de Sousa,DF
9159466489,Barros,4,Aparecida 7ª Seção,Pátio de Silveira,PE
2288281730,da Cunha,214,Santa Rosa,Conjunto Rios,PI
5334816193,Correia de Minas,76,Novo Aarão Reis,Estação de Ribeiro,RO
1451713319,Cassiano,40,Vila Nova Gameleira 1ª Seção,Passarela Alana Guerra,AM
5803253727,Rios,50,Conjunto Bonsucesso,Via Peixoto,RJ
795410846,Marques,5,Anchieta,Via de da Luz,GO
7167982466,Dias,769,Cônego Pinheiro 1ª Seção,Recanto de Moura,RR
9708074135,Fogaça da Prata,57,Caiçaras,Loteamento Lorenzo Carvalho,MT
6322500214,Novaes dos Dourados,99,Novo Ouro Preto,Praça da Costa,RO
5754644506,Melo do Norte,340,São Bernardo,Aeroporto Almeida,PE
812895328,Ramos,13,Vila Madre Gertrudes 2ª Seção,Fazenda de Vargas,SP
5361782822,Sales,225,Leticia,Fazenda Costa,RO
9987651866,da Paz Paulista,5,Jaraguá,Núcleo de Aragão,MS
1705724962,da Cruz,651,Vila Suzana Segunda Seção,Viela Montenegro,RO
6689745579,da Mata de Lopes,26,Caetano Furquim,Distrito Nogueira,MG
2696425471,Leão da Praia,890,Monte São José,Sítio Lívia Monteiro,MS
6729602813,Pinto,4,Vila Santo Antônio,Lagoa de Mendes,SC
4083724575,Pires de Nascimento,17,São Tomaz,Recanto Abreu,MG
4895462329,da Paz,8,Parque São Pedro,Avenida Camargo,GO
1135051958,Mendes,58,Vila Paquetá,Ladeira Peixoto,MG
1586191711,Moraes,613,Petropolis,Loteamento Jesus,RO
842743503,Duarte do Amparo,85,Vila São Paulo,Alameda de da Conceição,RJ
2946039004,Pires Paulista,309,João Paulo Ii,Estrada Helena Mendonça,AC
7490762217,Ramos,50,Marieta 2ª Seção,Praça Hellena da Conceição,PI
5224274501,Pimenta da Prata,56,Saudade,Praça Fogaça,AM
7846908122,da Mota Grande,6,Venda Nova,Distrito Rebeca Melo,AP
1911367740,Cirino do Amparo,76,Monte São José,Rua Cavalcanti,PI
9178677210,da Cruz,21,Novo Tupi,Praça de Farias,AM
6993604526,Siqueira,48,Itatiaia,Parque de Ramos,MS
8588741604,da Mata de Pires,615,Vila Antena,Distrito Gomes,ES
9592628650,Garcia,14,Vila Pinho,Trecho Otto Ramos,RR
7886508109,Nogueira do Amparo,711,Vila Suzana Primeira Seção,Núcleo Nicole Gonçalves,TO
4474656319,Montenegro,51,Pilar,Loteamento Gustavo Garcia,DF
1972179076,da Cunha do Sul,39,Oeste,Pátio Gabrielly Jesus,MG
718551921,Azevedo de Fonseca,36,Petropolis,Pátio de Nogueira,PI
7061100033,da Paz das Flores,79,Esperança,Distrito Costa,MS
4595975379,Andrade do Galho,57,Cabana Do Pai Tomás,Rua de Moura,RJ
1160143613,da Costa do Galho,19,Solimoes,Condomínio de da Mota,MT
5054191727,Mendes de Camargo,26,Lindéia,Praia Pacheco,AP
2202283977,Nogueira,13,Capitão Eduardo,Vila Sophie Melo,TO
7183389039,Novaes,5,Cenaculo,Setor Pastor,AC
3739477038,Nogueira Paulista,20,Jardim Vitoria,Loteamento Gonçalves,MA
5673516731,da Paz,32,Manacas,Viela Farias,TO
9729445188,da Mata,9,Pantanal,Lago Azevedo,SC
198966209,Ferreira de Campos,3,Vila Atila De Paiva,Estação Leandro da Cunha,PA
4485800412,Peixoto do Campo,957,Corumbiara,Rua Ágatha Vieira,PB
4616504234,da Costa da Praia,26,Senhor Dos Passos,Lago de das Neves,AP
9847133304,Rios,68,Venda Nova,Praça Dias,RN
7779801130,Pimenta dos Dourados,23,Suzana,Viela Marques,GO
4130354141,Pires do Amparo,48,São Francisco Das Chagas,Distrito Elisa Cassiano,MS
8517055845,Pires de Mendes,252,Santa Margarida,Parque Cirino,DF
4984122351,Moraes do Oeste,653,Aguas Claras,Estação Aragão,TO
7482290936,Casa Grande do Campo,46,Antonio Ribeiro De Abreu 1ª Seção,Vereda Leão,PI
620273061,Castro da Serra,19,Jardim Alvorada,Recanto da Mata,RS
2556116768,Leão,21,Itaipu,Distrito Rocha,MT
9431494929,Borges das Pedras,19,Satelite,Conjunto Clara Garcia,GO
8621983495,Brito Paulista,7,Mangabeiras,Feira de Pires,MT
9256858616,Castro,76,Custodinha,Rodovia Castro,PA
417837416,Pires,58,Caetano Furquim,Trecho Freitas,GO
7825786159,Aragão,88,Santo André,Viaduto Levi Machado,PR
9505735805,Guerra do Norte,9,Santa Branca,Avenida Ramos,RN
5305227214,Cavalcante do Amparo,88,Gutierrez,Avenida de Pastor,GO
9580237116,Camargo,85,Nova Cachoeirinha,Setor de Ramos,MG
4582503208,Fernandes,7,Nova Suíça,Esplanada Benjamin Carvalho,PA
9820933932,Melo,74,Vila Nossa Senhora Do Rosário,Rua Heitor Castro,MT
7112741970,Albuquerque das Pedras,82,Maria Tereza,Fazenda de Lima,ES
9754729343,Pimenta de Lopes,42,Vila Cloris,Área Erick Nunes,TO
4154128849,Ferreira,16,Santo Agostinho,Viaduto Albuquerque,ES
1339184056,Martins do Galho,839,Vila Coqueiral,Loteamento Pastor,TO
6682713812,Camargo Grande,550,Xangri-Lá,Condomínio Cavalcanti,BA
6992218059,Sales dos Dourados,2,Novo Tupi,Via de da Cunha,MG
1658248517,Nascimento,95,Pirineus,Praça de Fernandes,RN
7436786455,Azevedo,67,Conjunto Lagoa,Fazenda Isabela Vieira,MA
7945506963,Brito Alegre,8,Mangabeiras,Quadra Pedro Lucas Sá,BA
6534073728,Azevedo,23,Barroca,Lago Ravi Lucca da Cunha,MT
9734435249,Pinto,703,Alto Caiçaras,Chácara Rios,RO
9910731636,Silveira,57,Estoril,Residencial de Gonçalves,RS
5397074531,da Conceição de Sousa,4,Floresta,Rodovia Evelyn Cassiano,DF
4406637078,Cardoso,2,Vila Cloris,Condomínio Murilo Machado,RO
7511095991,da Rosa de Vieira,21,Solar Do Barreiro,Avenida de Teixeira,DF
6599165253,da Mota Grande,5,São José,Alameda Larissa Borges,MA
7231458276,Gomes do Galho,42,Vila Santa Monica 1ª Seção,Praça João Pedro Sales,RJ
9737101932,da Mata da Serra,9,Vila Nova Cachoeirinha 2ª Seção,Condomínio de Costa,MA
2654367089,Castro,34,São Tomaz,Alameda Aragão,MS
8916216375,Guerra,5,Araguaia,Lago Yasmin Aragão,AL
5717701921,Cassiano da Prata,5,Ipe,Parque da Luz,TO
3590519922,Caldeira da Mata,1,Trevo,Setor Heloísa Rios,AL
7833159594,Pimenta de Alves,52,Serra Verde,Parque de Sousa,SC
3857074023,da Mota de Lima,19,Tirol,Colônia de Siqueira,SE
3559855674,Andrade do Galho,15,Mirante,Recanto Pietro Vargas,MA
4812548277,Vieira,97,Alto Vera Cruz,Rua Pimenta,PB
6524480150,Rodrigues,21,Vila Madre Gertrudes 2ª Seção,Passarela Carvalho,AL
958570536,Almeida,54,Biquinhas,Largo Freitas,PA
9090370833,da Mata dos Dourados,747,Pompéia,Campo Ribeiro,AP
7181351831,Rezende,894,Beira Linha,Parque Gabrielly Martins,SP
5930454402,Moura do Amparo,54,Marieta 2ª Seção,Setor Mariah Ramos,RJ
3879358964,Rodrigues da Mata,47,Serrano,Conjunto de da Cunha,RR
3597916438,Farias do Campo,4,João Pinheiro,Largo Sophia Araújo,DF
4762138032,Pastor do Amparo,668,Vila São Gabriel,Quadra de Nascimento,PE
