id,nome,sobrenome,email,data_admissao,cargo
80000.0,Otto Barbosa,Cunha,ottocunha@nomeEmpresa.com,2022-06-25,Telemarketing
80001.0,Mariah Teixeira,Cirino,teixeiracirino@nomeEmpresa.com,2024-01-16,Vendedor Interno
80002.0,Bella Sampaio,Sá,sampaiosa@nomeEmpresa.com,2011-07-24,Vendedor Interno
80003.0,Liz Nogueira,Montenegro,lizmontenegro@nomeEmpresa.com,2016-01-11,Telemarketing
80004.0,Esther Alves,Santos,esthersantos@nomeEmpresa.com,2004-08-20,Telemarketing
80005.0,Lucca Machado,Novais,luccanovais@nomeEmpresa.com,2011-03-28,Telemarketing
80006.0,João Gabriel,Cruz,joaocruz@nomeEmpresa.com,2010-05-31,Telemarketing
80007.0,Miguel Fonseca,Silva,miguelsilva@nomeEmpresa.com,2013-05-27,Telemarketing
80008.0,Manuella Martins,Sampaio,martinssampaio@nomeEmpresa.com,2012-08-20,Vendedor Interno
80009.0,Mateus Porto,Novaes,portonovaes@nomeEmpresa.com,2006-06-16,Telemarketing
80010.0,Sofia Duarte,Novaes,duartenovaes@nomeEmpresa.com,2019-06-16,Vendedor Interno
80011.0,Lívia Campos,Fernandes,liviafernandes@nomeEmpresa.com,2013-05-18,Promotor de Vendas
80012.0,Rafael Nunes,Fernandes,nunesfernandes@nomeEmpresa.com,2008-02-23,Vendedor Externo
80013.0,Lavínia Costa,Silva,costasilva@nomeEmpresa.com,2014-03-19,Vendedor Interno
80014.0,Yuri Dias,Souza,diassouza@nomeEmpresa.com,2013-06-08,Telemarketing
80015.0,Hadassa Sá,Peixoto,sapeixoto@nomeEmpresa.com,2019-04-04,Vendedor Interno
80016.0,da Rosa,Fernandes,dafernandes@nomeEmpresa.com,2013-03-27,Telemarketing
80017.0,André Rezende,Nunes,rezendenunes@nomeEmpresa.com,2020-10-09,Vendedor Interno
80018.0,Sophia Vasconcelos,Silveira,sophiasilveira@nomeEmpresa.com,2022-06-02,Vendedor Externo
80019.0,Maria Julia,Campos,mariacampos@nomeEmpresa.com,2008-08-06,Vendedor Interno
80020.0,Bruna Siqueira,Pastor,siqueirapastor@nomeEmpresa.com,2006-01-06,Vendedor Interno
80021.0,Yago Oliveira,Nogueira,oliveiranogueira@nomeEmpresa.com,2004-04-10,Telemarketing
80022.0,Mariane Pimenta,Câmara,pimentacamara@nomeEmpresa.com,2006-10-09,Vendedor Interno
80023.0,Clara Azevedo,Azevedo,claraazevedo@nomeEmpresa.com,2020-08-04,Telemarketing
80024.0,Lucca Pimenta,Cunha,luccacunha@nomeEmpresa.com,2005-01-31,Telemarketing
80025.0,Bruno Sales,Vargas,salesvargas@nomeEmpresa.com,2008-06-07,Vendedor Interno
80026.0,Matteo Pastor,Luz,pastorluz@nomeEmpresa.com,2011-01-15,Consultor de Vendas
80027.0,Marcos Vinicius,Melo,marcosmelo@nomeEmpresa.com,2009-05-16,Promotor de Vendas
80028.0,Caio Rezende,Cruz,caiocruz@nomeEmpresa.com,2019-02-19,Telemarketing
80029.0,Theodoro Sales,Rezende,salesrezende@nomeEmpresa.com,2019-08-01,Promotor de Vendas
80030.0,Yuri Duarte,Rodrigues,duarterodrigues@nomeEmpresa.com,2018-05-27,Telemarketing
80031.0,Gabriela Vargas,Freitas,gabrielafreitas@nomeEmpresa.com,2007-02-17,Vendedor Interno
80032.0,da Cruz,Vargas,davargas@nomeEmpresa.com,2015-02-19,Vendedor Interno
80033.0,Gabriel Barbosa,Ribeiro,gabrielribeiro@nomeEmpresa.com,2005-06-07,Telemarketing
80034.0,Pietro Sousa,Albuquerque,sousaalbuquerque@nomeEmpresa.com,2018-10-02,Vendedor Interno
80035.0,da Paz,Paz,dapaz@nomeEmpresa.com,2004-11-01,Telemarketing
80036.0,Davi Moraes,Andrade,moraesandrade@nomeEmpresa.com,2011-09-30,Vendedor Interno
80037.0,Joana Araújo,Santos,araujosantos@nomeEmpresa.com,2023-06-09,Vendedor Interno
80038.0,Rhavi Pereira,Nunes,pereiranunes@nomeEmpresa.com,2007-05-04,Consultor de Vendas
80039.0,Danilo Montenegro,Cunha,danilocunha@nomeEmpresa.com,2006-05-05,Vendedor Externo
80040.0,Mateus Peixoto,Gonçalves,peixotogoncalves@nomeEmpresa.com,2023-01-25,Vendedor Interno
80041.0,Maya Machado,Nascimento,machadonascimento@nomeEmpresa.com,2016-10-09,Telemarketing
80042.0,Isis Camargo,Paz,isispaz@nomeEmpresa.com,2024-04-09,Vendedor Interno
80043.0,Allana Pastor,Silva,pastorsilva@nomeEmpresa.com,2008-08-12,Vendedor Interno
80044.0,Antony Cassiano,Andrade,cassianoandrade@nomeEmpresa.com,2007-09-05,Vendedor Interno
80045.0,Hadassa Fonseca,Mendonça,hadassamendonca@nomeEmpresa.com,2024-06-03,Vendedor Interno
80046.0,Flor Castro,Ribeiro,florribeiro@nomeEmpresa.com,2004-02-27,Vendedor Externo
80047.0,Léo Souza,Ramos,souzaramos@nomeEmpresa.com,2010-06-13,Telemarketing
80048.0,Sofia Câmara,Silveira,camarasilveira@nomeEmpresa.com,2003-12-23,Telemarketing
80049.0,Lorena Cassiano,Ferreira,cassianoferreira@nomeEmpresa.com,2008-11-27,Telemarketing
80050.0,Vitória Mendes,Sá,vitoriasa@nomeEmpresa.com,2007-10-12,Telemarketing
80051.0,Cauê Vieira,Pacheco,vieirapacheco@nomeEmpresa.com,2024-03-14,Consultor de Vendas
80052.0,Enzo Jesus,Sousa,jesussousa@nomeEmpresa.com,2013-12-07,Vendedor Interno
80053.0,Nicolas Nogueira,Almeida,nogueiraalmeida@nomeEmpresa.com,2023-04-25,Promotor de Vendas
80054.0,Carolina Novaes,Marques,carolinamarques@nomeEmpresa.com,2020-11-15,Vendedor Interno
80055.0,Sophia Machado,Sales,sophiasales@nomeEmpresa.com,2004-07-20,Vendedor Interno
80056.0,Benício Lopes,Carvalho,lopescarvalho@nomeEmpresa.com,2003-12-16,Vendedor Externo
80057.0,Henrique Sampaio,Conceição,henriqueconceicao@nomeEmpresa.com,2018-11-08,Vendedor Interno
80058.0,Miguel Pimenta,Cirino,pimentacirino@nomeEmpresa.com,2020-07-02,Vendedor Externo
80059.0,Natália Aragão,Viana,aragaoviana@nomeEmpresa.com,2016-09-17,Vendedor Interno
80060.0,Agatha Almeida,Garcia,almeidagarcia@nomeEmpresa.com,2009-03-23,Vendedor Interno
80061.0,Aurora Silva,Teixeira,silvateixeira@nomeEmpresa.com,2017-11-09,Vendedor Interno
80062.0,Aurora Farias,Pastor,fariaspastor@nomeEmpresa.com,2020-03-06,Vendedor Externo
80063.0,Levi Oliveira,Câmara,oliveiracamara@nomeEmpresa.com,2014-10-25,Vendedor Interno
80064.0,Maria Sophia,Ferreira,mariaferreira@nomeEmpresa.com,2015-02-07,Vendedor Externo
80065.0,Valentina Pires,Vasconcelos,piresvasconcelos@nomeEmpresa.com,2012-04-29,Vendedor Externo
80066.0,Liam Aragão,Andrade,aragaoandrade@nomeEmpresa.com,2020-07-23,Vendedor Interno
80067.0,da Cunha,Montenegro,damontenegro@nomeEmpresa.com,2021-11-03,Vendedor Interno
80068.0,Nathan Dias,Abreu,nathanabreu@nomeEmpresa.com,2021-05-04,Vendedor Interno
80069.0,Yuri Borges,Mota,borgesmota@nomeEmpresa.com,2020-09-20,Vendedor Interno
80070.0,Mirella Barbosa,Ramos,barbosaramos@nomeEmpresa.com,2004-08-05,Vendedor Externo
80071.0,Luna Correia,Moreira,correiamoreira@nomeEmpresa.com,2006-08-03,Telemarketing
80072.0,Maria Eduarda,Correia,mariacorreia@nomeEmpresa.com,2013-04-05,Vendedor Interno
80073.0,Vitória Abreu,Leão,abreuleao@nomeEmpresa.com,2021-01-07,Telemarketing
80074.0,da Costa,Alves,daalves@nomeEmpresa.com,2011-02-28,Telemarketing
80075.0,Julia Vieira,Lopes,julialopes@nomeEmpresa.com,2018-02-23,Consultor de Vendas
80076.0,André Sousa,Fernandes,sousafernandes@nomeEmpresa.com,2004-09-20,Vendedor Interno
80077.0,Lívia Martins,Rios,liviarios@nomeEmpresa.com,2009-12-07,Promotor de Vendas
80078.0,Carolina da,Fogaça,carolinafogaca@nomeEmpresa.com,2013-10-31,Vendedor Externo
80079.0,João Miguel,Pereira,joaopereira@nomeEmpresa.com,2017-07-16,Vendedor Externo
80080.0,Dante Vieira,Campos,dantecampos@nomeEmpresa.com,2020-02-05,Vendedor Interno
80081.0,Vinicius Martins,Neves,viniciusneves@nomeEmpresa.com,2009-08-09,Telemarketing
80082.0,Caleb Mendonça,Andrade,mendoncaandrade@nomeEmpresa.com,2015-04-06,Vendedor Interno
80083.0,Emanuel Barbosa,Gomes,barbosagomes@nomeEmpresa.com,2022-12-03,Vendedor Interno
80084.0,Lucca da,Nogueira,luccanogueira@nomeEmpresa.com,2009-07-25,Vendedor Interno
80085.0,Marcelo Nascimento,Sampaio,marcelosampaio@nomeEmpresa.com,2007-05-29,Vendedor Interno
80086.0,da Conceição,Rios,darios@nomeEmpresa.com,2011-11-28,Vendedor Externo
80087.0,Breno Gonçalves,Azevedo,goncalvesazevedo@nomeEmpresa.com,2004-11-27,Vendedor Interno
80088.0,Evelyn Nascimento,Caldeira,nascimentocaldeira@nomeEmpresa.com,2022-02-18,Vendedor Interno
80089.0,Cauê Novais,Rios,novaisrios@nomeEmpresa.com,2011-07-07,Vendedor Interno
80090.0,Caio Nascimento,Freitas,nascimentofreitas@nomeEmpresa.com,2005-11-15,Vendedor Interno
80091.0,Luigi Pinto,Paz,pintopaz@nomeEmpresa.com,2018-10-03,Vendedor Interno
80092.0,Henry Porto,Neves,portoneves@nomeEmpresa.com,2010-06-15,Vendedor Externo
80093.0,André Fonseca,Correia,fonsecacorreia@nomeEmpresa.com,2011-02-24,Vendedor Interno
80094.0,da Cunha,Mendonça,damendonca@nomeEmpresa.com,2011-11-13,Consultor de Vendas
80095.0,Rebeca Almeida,Rodrigues,almeidarodrigues@nomeEmpresa.com,2003-12-02,Promotor de Vendas
80096.0,Arthur Borges,Cavalcanti,arthurcavalcanti@nomeEmpresa.com,2007-10-01,Vendedor Interno
80097.0,Carolina Macedo,Nunes,macedonunes@nomeEmpresa.com,2007-04-22,Telemarketing
80098.0,Nicolas Ribeiro,Rezende,nicolasrezende@nomeEmpresa.com,2005-07-27,Vendedor Interno
80099.0,Joana Cassiano,Rocha,cassianorocha@nomeEmpresa.com,2021-09-13,Telemarketing
80100.0,Rodrigo da,Marques,rodrigomarques@nomeEmpresa.com,2004-11-12,Vendedor Externo
80101.0,Emanuelly Câmara,Freitas,emanuellyfreitas@nomeEmpresa.com,2010-09-11,Telemarketing
80102.0,Marcelo Nunes,Mata,nunesmata@nomeEmpresa.com,2023-05-01,Telemarketing
80104.0,Pietra Cassiano,Sousa,pietrasousa@nomeEmpresa.com,2020-05-07,Vendedor Interno
80105.0,Laura Aparecida,Pastor,laurapastor@nomeEmpresa.com,2008-09-21,Vendedor Interno
80106.0,Pietra Albuquerque,Aragão,albuquerquearagao@nomeEmpresa.com,2005-02-08,Telemarketing
80107.0,Heitor Ribeiro,Fonseca,ribeirofonseca@nomeEmpresa.com,2014-09-05,Vendedor Externo
80108.0,Lucca Macedo,Rocha,luccarocha@nomeEmpresa.com,2009-01-07,Telemarketing
80109.0,Aurora Almeida,Alves,auroraalves@nomeEmpresa.com,2019-03-14,Vendedor Interno
80110.0,Miguel Moreira,Teixeira,moreirateixeira@nomeEmpresa.com,2016-06-15,Promotor de Vendas
80111.0,Kevin Abreu,Sá,abreusa@nomeEmpresa.com,2023-09-13,Vendedor Interno
80112.0,Augusto Cardoso,Sousa,cardososousa@nomeEmpresa.com,2018-12-30,Vendedor Interno
80113.0,da Paz,Cardoso,dacardoso@nomeEmpresa.com,2014-02-24,Promotor de Vendas
80114.0,Melina Duarte,Vargas,duartevargas@nomeEmpresa.com,2017-06-12,Vendedor Externo
80115.0,Camila Gomes,Farias,gomesfarias@nomeEmpresa.com,2013-02-22,Telemarketing
80116.0,Vitória Jesus,Paz,jesuspaz@nomeEmpresa.com,2019-12-23,Vendedor Externo
80117.0,Vitor Gabriel,Cirino,vitorcirino@nomeEmpresa.com,2021-05-30,Vendedor Interno
80118.0,Bianca Rios,Gomes,riosgomes@nomeEmpresa.com,2013-09-11,Telemarketing
80119.0,Benjamin Dias,Melo,benjaminmelo@nomeEmpresa.com,2011-12-17,Vendedor Externo
80120.0,Alexandre Garcia,Teixeira,garciateixeira@nomeEmpresa.com,2024-11-18,Vendedor Interno
80121.0,Miguel Freitas,Silveira,miguelsilveira@nomeEmpresa.com,2005-07-23,Vendedor Externo
80122.0,Bryan Aparecida,Paz,aparecidapaz@nomeEmpresa.com,2006-07-14,Telemarketing
80123.0,Enzo Brito,Sampaio,britosampaio@nomeEmpresa.com,2015-05-14,Vendedor Interno
80124.0,Raquel Pires,Farias,raquelfarias@nomeEmpresa.com,2017-07-14,Vendedor Interno
80125.0,Bryan Cavalcante,Teixeira,cavalcanteteixeira@nomeEmpresa.com,2005-07-08,Consultor de Vendas
80126.0,Sara Souza,Sampaio,souzasampaio@nomeEmpresa.com,2007-12-04,Telemarketing
80127.0,Sarah Barros,Moreira,barrosmoreira@nomeEmpresa.com,2024-10-03,Telemarketing
80128.0,das Neves,Fernandes,dasfernandes@nomeEmpresa.com,2011-05-11,Vendedor Interno
80129.0,Hadassa Sales,Novais,salesnovais@nomeEmpresa.com,2015-07-31,Vendedor Interno
80130.0,Emanuel Mendonça,Rios,mendoncarios@nomeEmpresa.com,2015-09-08,Vendedor Interno
80131.0,Giovanna Pimenta,Neves,pimentaneves@nomeEmpresa.com,2018-03-06,Vendedor Externo
80132.0,Ravi Porto,Sousa,ravisousa@nomeEmpresa.com,2007-12-22,Vendedor Interno
80133.0,Lorenzo Azevedo,Rocha,azevedorocha@nomeEmpresa.com,2022-03-01,Vendedor Externo
80134.0,Eduarda da,Camargo,eduardacamargo@nomeEmpresa.com,2012-01-30,Telemarketing
80135.0,Miguel Sales,Cunha,miguelcunha@nomeEmpresa.com,2018-11-07,Vendedor Interno
80136.0,Gustavo Câmara,Carvalho,camaracarvalho@nomeEmpresa.com,2009-05-17,Vendedor Externo
80137.0,Bernardo Cardoso,Nunes,cardosonunes@nomeEmpresa.com,2022-01-31,Telemarketing
80138.0,Manuella Freitas,Barros,freitasbarros@nomeEmpresa.com,2017-06-07,Vendedor Externo
80139.0,da Mota,Almeida,daalmeida@nomeEmpresa.com,2013-12-22,Telemarketing
80140.0,Maysa Aragão,Siqueira,aragaosiqueira@nomeEmpresa.com,2011-01-10,Vendedor Interno
80141.0,Felipe Leão,Leão,felipeleao@nomeEmpresa.com,2019-07-12,Telemarketing
80142.0,Diogo Freitas,Correia,diogocorreia@nomeEmpresa.com,2017-07-12,Telemarketing
80143.0,Laís Cunha,Fogaça,cunhafogaca@nomeEmpresa.com,2015-11-21,Promotor de Vendas
80144.0,Helena Sousa,Fonseca,helenafonseca@nomeEmpresa.com,2006-07-20,Vendedor Interno
80145.0,Vitor Campos,Barbosa,vitorbarbosa@nomeEmpresa.com,2023-11-29,Promotor de Vendas
80146.0,Allana da,Ramos,allanaramos@nomeEmpresa.com,2010-09-03,Vendedor Interno
80147.0,Luiz Câmara,Martins,luizmartins@nomeEmpresa.com,2005-04-23,Vendedor Externo
80148.0,Yan Nogueira,Pacheco,nogueirapacheco@nomeEmpresa.com,2013-03-22,Vendedor Externo
80149.0,Breno Souza,Lopes,souzalopes@nomeEmpresa.com,2020-06-13,Telemarketing
80150.0,Luísa Vasconcelos,Moreira,luisamoreira@nomeEmpresa.com,2008-12-10,Vendedor Interno
80151.0,da Cunha,Barbosa,dabarbosa@nomeEmpresa.com,2007-10-21,Telemarketing
80152.0,Evelyn Novaes,Paz,novaespaz@nomeEmpresa.com,2019-11-21,Vendedor Interno
80153.0,Clarice Ramos,Castro,ramoscastro@nomeEmpresa.com,2022-12-26,Vendedor Interno
80154.0,da Mata,Moreira,damoreira@nomeEmpresa.com,2022-08-01,Vendedor Interno
80155.0,Asafe Pastor,Vasconcelos,pastorvasconcelos@nomeEmpresa.com,2015-03-11,Vendedor Interno
80156.0,Allana Cunha,Fernandes,cunhafernandes@nomeEmpresa.com,2007-08-09,Vendedor Interno
80157.0,Hadassa Vargas,Rosa,vargasrosa@nomeEmpresa.com,2020-01-27,Vendedor Externo
80158.0,Gabriel Viana,Luz,gabrielluz@nomeEmpresa.com,2020-08-09,Vendedor Interno
80159.0,Ana Vitória,Neves,ananeves@nomeEmpresa.com,2017-07-07,Vendedor Interno
80160.0,Dom Rezende,Lopes,rezendelopes@nomeEmpresa.com,2012-08-13,Promotor de Vendas
80161.0,Caroline da,Lopes,carolinelopes@nomeEmpresa.com,2020-03-24,Vendedor Interno
80162.0,Gabriel Cavalcanti,Aparecida,gabrielaparecida@nomeEmpresa.com,2013-02-02,Telemarketing
80163.0,Gabriel Dias,Cavalcante,gabrielcavalcante@nomeEmpresa.com,2010-10-06,Vendedor Externo
80164.0,Sophia Marques,Conceição,sophiaconceicao@nomeEmpresa.com,2022-12-03,Promotor de Vendas
80165.0,Lucas Azevedo,Lopes,lucaslopes@nomeEmpresa.com,2020-04-03,Vendedor Interno
80166.0,da Rosa,Lima,dalima@nomeEmpresa.com,2009-11-01,Vendedor Interno
80167.0,Felipe Sampaio,Rosa,feliperosa@nomeEmpresa.com,2021-04-06,Consultor de Vendas
