id,nome,sobrenome,email,dataAdmissao,cargo
80000,Kamilly Viana,Ribeiro,vianaribeiro@nomeEmpresa.com,2009-11-17,Telemarketing
80001,Gabriel Ramos,Nascimento,gabrielnascimento@nomeEmpresa.com,2012-01-22,Vendedor Externo
80002,Breno Freitas,Rocha,freitasrocha@nomeEmpresa.com,2016-03-27,Vendedor Interno
80003,Ravy Vasconcelos,Machado,vasconcelosmachado@nomeEmpresa.com,2004-03-28,Vendedor Interno
80004,Sophia Nascimento,Aragão,nascimentoaragao@nomeEmpresa.com,2016-02-04,Telemarketing
80005,Ayla Leão,Mendonça,leaomendonca@nomeEmpresa.com,2022-12-12,Telemarketing
80006,Leonardo Sales,Marques,salesmarques@nomeEmpresa.com,2016-02-08,Telemarketing
80007,Benicio Gonçalves,Siqueira,beniciosiqueira@nomeEmpresa.com,2007-08-08,Consultor de Vendas
80008,Alexandre Cunha,Costa,cunhacosta@nomeEmpresa.com,2020-04-14,Telemarketing
80009,Caio Nascimento,Jesus,nascimentojesus@nomeEmpresa.com,2010-07-22,Vendedor Interno
80010,da Cruz,Cardoso,dacardoso@nomeEmpresa.com,2015-09-21,Vendedor Interno
80011,Clarice Guerra,Freitas,guerrafreitas@nomeEmpresa.com,2011-11-08,Vendedor Externo
80012,Lucca Nunes,Marques,luccamarques@nomeEmpresa.com,2007-02-08,Telemarketing
80013,Miguel Cirino,Macedo,miguelmacedo@nomeEmpresa.com,2009-09-19,Vendedor Externo
80014,Otto Pimenta,Cavalcanti,pimentacavalcanti@nomeEmpresa.com,2005-08-26,Telemarketing
80015,Valentina Pacheco,Fernandes,valentinafernandes@nomeEmpresa.com,2017-03-19,Telemarketing
80016,Rodrigo Silva,Marques,silvamarques@nomeEmpresa.com,2011-05-12,Telemarketing
80017,Manuella Almeida,Novaes,almeidanovaes@nomeEmpresa.com,2023-07-25,Vendedor Interno
80018,Danilo Moraes,Marques,moraesmarques@nomeEmpresa.com,2006-08-05,Vendedor Interno
80019,Beatriz da,Mendonça,beatrizmendonca@nomeEmpresa.com,2011-09-18,Vendedor Interno
80020,Emanuelly Pereira,Rezende,pereirarezende@nomeEmpresa.com,2016-05-03,Vendedor Interno
80021,Luigi Duarte,Almeida,duartealmeida@nomeEmpresa.com,2020-07-16,Telemarketing
80022,Pedro Aparecida,Monteiro,aparecidamonteiro@nomeEmpresa.com,2011-09-22,Vendedor Interno
80023,Ísis Vasconcelos,Silva,vasconcelossilva@nomeEmpresa.com,2021-06-17,Consultor de Vendas
80024,Igor Vargas,Cavalcante,vargascavalcante@nomeEmpresa.com,2016-08-19,Vendedor Interno
80025,Enzo Fernandes,Vieira,fernandesvieira@nomeEmpresa.com,2023-02-28,Telemarketing
80026,Natália das,Barros,nataliabarros@nomeEmpresa.com,2011-04-02,Vendedor Interno
80027,Bernardo Oliveira,Gonçalves,oliveiragoncalves@nomeEmpresa.com,2008-12-12,Vendedor Externo
80028,Luísa Rios,Fonseca,riosfonseca@nomeEmpresa.com,2019-08-14,Vendedor Externo
80029,Maya Aparecida,Moraes,aparecidamoraes@nomeEmpresa.com,2022-12-15,Telemarketing
80030,Zoe Araújo,Sales,araujosales@nomeEmpresa.com,2012-05-15,Vendedor Externo
80031,Vinicius Sá,Carvalho,sacarvalho@nomeEmpresa.com,2012-03-09,Vendedor Externo
80032,Eloá Nascimento,Camargo,eloacamargo@nomeEmpresa.com,2004-04-26,Vendedor Interno
80033,Theo Mendonça,Rocha,mendoncarocha@nomeEmpresa.com,2015-07-15,Vendedor Interno
80034,Marcelo Marques,Conceição,marquesconceicao@nomeEmpresa.com,2009-09-13,Vendedor Interno
80035,Mateus Cavalcante,Garcia,cavalcantegarcia@nomeEmpresa.com,2010-07-29,Telemarketing
80036,da Mata,Rocha,darocha@nomeEmpresa.com,2015-05-26,Vendedor Interno
80037,Emilly Santos,Nunes,santosnunes@nomeEmpresa.com,2007-06-27,Vendedor Interno
80038,Calebe Novais,Rios,novaisrios@nomeEmpresa.com,2008-01-16,Vendedor Interno
80039,da Conceição,Viana,daviana@nomeEmpresa.com,2019-05-01,Vendedor Interno
80040,Luísa Ferreira,Cunha,ferreiracunha@nomeEmpresa.com,2022-07-13,Telemarketing
80041,Otávio Cunha,Costa,cunhacosta@nomeEmpresa.com,2005-06-15,Vendedor Externo
80042,Lorena Albuquerque,Costela,albuquerquecostela@nomeEmpresa.com,2018-06-06,Vendedor Interno
80043,Thiago Pereira,Barbosa,pereirabarbosa@nomeEmpresa.com,2007-10-13,Vendedor Interno
80044,Vinícius Câmara,Garcia,camaragarcia@nomeEmpresa.com,2008-05-21,Vendedor Interno
80045,Liz Abreu,Aragão,lizaragao@nomeEmpresa.com,2019-06-09,Promotor de Vendas
80046,Elisa Andrade,Santos,andradesantos@nomeEmpresa.com,2017-09-17,Vendedor Interno
80047,Rael Barros,Machado,barrosmachado@nomeEmpresa.com,2016-12-19,Vendedor Interno
80048,Lorenzo Andrade,Moreira,andrademoreira@nomeEmpresa.com,2014-01-11,Promotor de Vendas
80049,Valentim Farias,Cardoso,valentimcardoso@nomeEmpresa.com,2006-08-08,Vendedor Interno
80050,Caroline Pastor,Gomes,pastorgomes@nomeEmpresa.com,2006-01-15,Vendedor Interno
80051,Hellena Barbosa,Aragão,barbosaaragao@nomeEmpresa.com,2013-09-17,Vendedor Interno
80052,da Cunha,Leão,daleao@nomeEmpresa.com,2021-11-30,Vendedor Externo
80053,da Mota,Campos,dacampos@nomeEmpresa.com,2016-02-08,Vendedor Interno
80054,Sabrina Alves,Duarte,alvesduarte@nomeEmpresa.com,2016-05-11,Telemarketing
80055,Benicio Porto,Teixeira,portoteixeira@nomeEmpresa.com,2019-08-04,Vendedor Interno
80056,Vitória Pimenta,Duarte,vitoriaduarte@nomeEmpresa.com,2023-04-15,Vendedor Externo
80057,Luara Vargas,Luz,luaraluz@nomeEmpresa.com,2012-11-14,Vendedor Externo
80058,Bernardo Caldeira,Neves,caldeiraneves@nomeEmpresa.com,2022-02-16,Vendedor Interno
80059,Dante Cavalcante,Nascimento,cavalcantenascimento@nomeEmpresa.com,2006-03-14,Vendedor Interno
80060,Benjamin Peixoto,Sampaio,peixotosampaio@nomeEmpresa.com,2009-09-20,Vendedor Interno
80061,Eduardo Nogueira,Machado,nogueiramachado@nomeEmpresa.com,2022-08-17,Telemarketing
80062,Larissa Oliveira,Macedo,oliveiramacedo@nomeEmpresa.com,2018-08-26,Telemarketing
80063,Miguel da,Pereira,miguelpereira@nomeEmpresa.com,2004-02-29,Consultor de Vendas
80064,Luiza Carvalho,Fonseca,carvalhofonseca@nomeEmpresa.com,2013-06-29,Vendedor Interno
80065,Júlia Leão,Pereira,juliapereira@nomeEmpresa.com,2004-06-01,Vendedor Interno
80066,Yasmin Moreira,Guerra,moreiraguerra@nomeEmpresa.com,2012-12-20,Vendedor Interno
80067,Mirella Albuquerque,Nogueira,albuquerquenogueira@nomeEmpresa.com,2017-01-25,Vendedor Externo
80068,Isis Fernandes,Cirino,fernandescirino@nomeEmpresa.com,2017-08-22,Vendedor Interno
80069,Danilo Gomes,Rios,danilorios@nomeEmpresa.com,2017-08-17,Telemarketing
80070,Emanuella Cavalcante,Rodrigues,cavalcanterodrigues@nomeEmpresa.com,2008-08-27,Vendedor Interno
80071,Rebeca Caldeira,Oliveira,caldeiraoliveira@nomeEmpresa.com,2005-08-05,Vendedor Externo
80072,Lucca Viana,Santos,luccasantos@nomeEmpresa.com,2023-07-17,Vendedor Interno
80073,da Rocha,Rezende,darezende@nomeEmpresa.com,2013-02-11,Telemarketing
80074,Otto Campos,Mendes,camposmendes@nomeEmpresa.com,2008-02-29,Vendedor Externo
80075,Luigi Silva,Barbosa,silvabarbosa@nomeEmpresa.com,2018-02-12,Telemarketing
80076,Sarah Vargas,Paz,vargaspaz@nomeEmpresa.com,2013-06-01,Vendedor Externo
80077,Bruna Duarte,Gomes,duartegomes@nomeEmpresa.com,2011-04-08,Vendedor Externo
80078,Isabella Alves,Castro,alvescastro@nomeEmpresa.com,2021-06-06,Vendedor Interno
80079,Théo Câmara,Moraes,camaramoraes@nomeEmpresa.com,2024-08-13,Vendedor Externo
80080,da Costa,Nogueira,danogueira@nomeEmpresa.com,2004-04-07,Vendedor Externo
80081,Enzo Barbosa,Mata,barbosamata@nomeEmpresa.com,2018-11-14,Telemarketing
80082,Aylla Siqueira,Duarte,siqueiraduarte@nomeEmpresa.com,2007-09-30,Vendedor Interno
80083,Bruna Câmara,Vargas,brunavargas@nomeEmpresa.com,2018-06-27,Vendedor Externo
80084,Emilly Aparecida,Nogueira,aparecidanogueira@nomeEmpresa.com,2014-12-23,Telemarketing
80085,Paulo Correia,Nunes,correianunes@nomeEmpresa.com,2017-02-04,Vendedor Interno
80086,Nicole Garcia,Albuquerque,nicolealbuquerque@nomeEmpresa.com,2011-12-05,Telemarketing
80087,Brayan Caldeira,Rodrigues,caldeirarodrigues@nomeEmpresa.com,2013-12-24,Vendedor Interno
